n_neighbor,weights,p,Algorithm,Leaf size,Accuracy,F1 Score
1,uniform,1,auto,20,0.7825661116552399,0.7816866767010671
1,uniform,1,auto,30,0.7825661116552399,0.7816866767010671
1,uniform,1,ball_tree,20,0.7825661116552399,0.7816866767010671
1,uniform,1,ball_tree,30,0.7825661116552399,0.7816866767010671
1,uniform,1,kd_tree,20,0.7825661116552399,0.7816866767010671
1,uniform,1,kd_tree,30,0.7825661116552399,0.7816866767010671
1,uniform,1,brute,20,0.7825661116552399,0.7816866767010671
1,uniform,1,brute,30,0.7825661116552399,0.7816866767010671
2,uniform,1,auto,20,0.7593046033300686,0.7593517486620955
2,uniform,1,auto,30,0.7593046033300686,0.7593517486620955
2,uniform,1,ball_tree,20,0.7593046033300686,0.7593517486620955
2,uniform,1,ball_tree,30,0.7593046033300686,0.7593517486620955
2,uniform,1,kd_tree,20,0.7593046033300686,0.7593517486620955
2,uniform,1,kd_tree,30,0.7593046033300686,0.7593517486620955
2,uniform,1,brute,20,0.7593046033300686,0.7593517486620955
2,uniform,1,brute,30,0.7593046033300686,0.7593517486620955
3,uniform,1,auto,20,0.7879529872673849,0.7874085015923344
3,uniform,1,auto,30,0.7879529872673849,0.7874085015923344
3,uniform,1,ball_tree,20,0.7879529872673849,0.7874085015923344
3,uniform,1,ball_tree,30,0.7879529872673849,0.7874085015923344
3,uniform,1,kd_tree,20,0.7879529872673849,0.7874085015923344
3,uniform,1,kd_tree,30,0.7879529872673849,0.7874085015923344
3,uniform,1,brute,20,0.7879529872673849,0.7874085015923344
3,uniform,1,brute,30,0.7879529872673849,0.7874085015923344
4,uniform,1,auto,20,0.7835455435847208,0.78256316373116
4,uniform,1,auto,30,0.7835455435847208,0.78256316373116
4,uniform,1,ball_tree,20,0.7835455435847208,0.78256316373116
4,uniform,1,ball_tree,30,0.7835455435847208,0.78256316373116
4,uniform,1,kd_tree,20,0.7835455435847208,0.78256316373116
4,uniform,1,kd_tree,30,0.7835455435847208,0.78256316373116
4,uniform,1,brute,20,0.7835455435847208,0.78256316373116
4,uniform,1,brute,30,0.7835455435847208,0.78256316373116
5,uniform,1,auto,20,0.7810969637610186,0.7795323915715875
5,uniform,1,auto,30,0.7810969637610186,0.7795323915715875
5,uniform,1,ball_tree,20,0.7810969637610186,0.7795323915715875
5,uniform,1,ball_tree,30,0.7810969637610186,0.7795323915715875
5,uniform,1,kd_tree,20,0.7810969637610186,0.7795323915715875
5,uniform,1,kd_tree,30,0.7810969637610186,0.7795323915715875
5,uniform,1,brute,20,0.7810969637610186,0.7795323915715875
5,uniform,1,brute,30,0.7810969637610186,0.7795323915715875
6,uniform,1,auto,20,0.7796278158667973,0.7788086763964153
6,uniform,1,auto,30,0.7796278158667973,0.7788086763964153
6,uniform,1,ball_tree,20,0.7796278158667973,0.7788086763964153
6,uniform,1,ball_tree,30,0.7796278158667973,0.7788086763964153
6,uniform,1,kd_tree,20,0.7796278158667973,0.7788086763964153
6,uniform,1,kd_tree,30,0.7796278158667973,0.7788086763964153
6,uniform,1,brute,20,0.7796278158667973,0.7788086763964153
6,uniform,1,brute,30,0.7796278158667973,0.7788086763964153
7,uniform,1,auto,20,0.781586679725759,0.7796930156687487
7,uniform,1,auto,30,0.781586679725759,0.7796930156687487
7,uniform,1,ball_tree,20,0.781586679725759,0.7796930156687487
7,uniform,1,ball_tree,30,0.781586679725759,0.7796930156687487
7,uniform,1,kd_tree,20,0.781586679725759,0.7796930156687487
