n_neighbor,weights,p,Algorithm,Leaf size,Accuracy,F1 Score
1,uniform,1,auto,20,1.0,1.0
1,uniform,1,auto,30,1.0,1.0
1,uniform,1,brute,20,1.0,1.0
1,uniform,1,brute,30,1.0,1.0
1,uniform,1,ball_tree,20,1.0,1.0
1,uniform,1,ball_tree,30,1.0,1.0
1,uniform,1,kd_tree,20,1.0,1.0
1,uniform,1,kd_tree,30,1.0,1.0
2,uniform,1,auto,20,1.0,1.0
2,uniform,1,auto,30,1.0,1.0
2,uniform,1,brute,20,1.0,1.0
2,uniform,1,brute,30,1.0,1.0
2,uniform,1,ball_tree,20,1.0,1.0
2,uniform,1,ball_tree,30,1.0,1.0
2,uniform,1,kd_tree,20,1.0,1.0
2,uniform,1,kd_tree,30,1.0,1.0
3,uniform,1,auto,20,1.0,1.0
3,uniform,1,auto,30,1.0,1.0
3,uniform,1,brute,20,1.0,1.0
3,uniform,1,brute,30,1.0,1.0
3,uniform,1,ball_tree,20,1.0,1.0
3,uniform,1,ball_tree,30,1.0,1.0
3,uniform,1,kd_tree,20,1.0,1.0
3,uniform,1,kd_tree,30,1.0,1.0
4,uniform,1,auto,20,1.0,1.0
4,uniform,1,auto,30,1.0,1.0
4,uniform,1,brute,20,1.0,1.0
4,uniform,1,brute,30,1.0,1.0
4,uniform,1,ball_tree,20,1.0,1.0
4,uniform,1,ball_tree,30,1.0,1.0
4,uniform,1,kd_tree,20,1.0,1.0
4,uniform,1,kd_tree,30,1.0,1.0
1,uniform,2,auto,20,1.0,1.0
1,uniform,2,auto,30,1.0,1.0
1,uniform,2,brute,20,1.0,1.0
1,uniform,2,brute,30,1.0,1.0
1,uniform,2,ball_tree,20,1.0,1.0
1,uniform,2,ball_tree,30,1.0,1.0
1,uniform,2,kd_tree,20,1.0,1.0
1,uniform,2,kd_tree,30,1.0,1.0
2,uniform,2,auto,20,1.0,1.0
2,uniform,2,auto,30,1.0,1.0
2,uniform,2,brute,20,1.0,1.0
2,uniform,2,brute,30,1.0,1.0
2,uniform,2,ball_tree,20,1.0,1.0
2,uniform,2,ball_tree,30,1.0,1.0
2,uniform,2,kd_tree,20,1.0,1.0
2,uniform,2,kd_tree,30,1.0,1.0
3,uniform,2,auto,20,1.0,1.0
3,uniform,2,auto,30,1.0,1.0
3,uniform,2,brute,20,1.0,1.0
3,uniform,2,brute,30,1.0,1.0
3,uniform,2,ball_tree,20,1.0,1.0
3,uniform,2,ball_tree,30,1.0,1.0
3,uniform,2,kd_tree,20,1.0,1.0
3,uniform,2,kd_tree,30,1.0,1.0
4,uniform,2,auto,20,1.0,1.0
4,uniform,2,auto,30,1.0,1.0
4,uniform,2,brute,20,1.0,1.0
4,uniform,2,brute,30,1.0,1.0
4,uniform,2,ball_tree,20,1.0,1.0
4,uniform,2,ball_tree,30,1.0,1.0
4,uniform,2,kd_tree,20,1.0,1.0
4,uniform,2,kd_tree,30,1.0,1.0
1,distance,1,auto,20,1.0,1.0
1,distance,1,auto,30,1.0,1.0
1,distance,1,brute,20,1.0,1.0
1,distance,1,brute,30,1.0,1.0
1,distance,1,ball_tree,20,1.0,1.0
1,distance,1,ball_tree,30,1.0,1.0
1,distance,1,kd_tree,20,1.0,1.0
1,distance,1,kd_tree,30,1.0,1.0
2,distance,1,auto,20,1.0,1.0
2,distance,1,auto,30,1.0,1.0
2,distance,1,brute,20,1.0,1.0
2,distance,1,brute,30,1.0,1.0
2,distance,1,ball_tree,20,1.0,1.0
2,distance,1,ball_tree,30,1.0,1.0
2,distance,1,kd_tree,20,1.0,1.0
2,distance,1,kd_tree,30,1.0,1.0
3,distance,1,auto,20,1.0,1.0
3,distance,1,auto,30,1.0,1.0
3,distance,1,brute,20,1.0,1.0
3,distance,1,brute,30,1.0,1.0
3,distance,1,ball_tree,20,1.0,1.0
3,distance,1,ball_tree,30,1.0,1.0
3,distance,1,kd_tree,20,1.0,1.0
3,distance,1,kd_tree,30,1.0,1.0
4,distance,1,auto,20,1.0,1.0
4,distance,1,auto,30,1.0,1.0
4,distance,1,brute,20,1.0,1.0
4,distance,1,brute,30,1.0,1.0
4,distance,1,ball_tree,20,1.0,1.0
4,distance,1,ball_tree,30,1.0,1.0
4,distance,1,kd_tree,20,1.0,1.0
4,distance,1,kd_tree,30,1.0,1.0
1,distance,2,auto,20,1.0,1.0
1,distance,2,auto,30,1.0,1.0
1,distance,2,brute,20,1.0,1.0
1,distance,2,brute,30,1.0,1.0
1,distance,2,ball_tree,20,1.0,1.0
1,distance,2,ball_tree,30,1.0,1.0
1,distance,2,kd_tree,20,1.0,1.0
1,distance,2,kd_tree,30,1.0,1.0
2,distance,2,auto,20,1.0,1.0
2,distance,2,auto,30,1.0,1.0
2,distance,2,brute,20,1.0,1.0
2,distance,2,brute,30,1.0,1.0
2,distance,2,ball_tree,20,1.0,1.0
2,distance,2,ball_tree,30,1.0,1.0
2,distance,2,kd_tree,20,1.0,1.0
2,distance,2,kd_tree,30,1.0,1.0
3,distance,2,auto,20,1.0,1.0
3,distance,2,auto,30,1.0,1.0
3,distance,2,brute,20,1.0,1.0
3,distance,2,brute,30,1.0,1.0
3,distance,2,ball_tree,20,1.0,1.0
3,distance,2,ball_tree,30,1.0,1.0
3,distance,2,kd_tree,20,1.0,1.0
3,distance,2,kd_tree,30,1.0,1.0
4,distance,2,auto,20,1.0,1.0
4,distance,2,auto,30,1.0,1.0
4,distance,2,brute,20,1.0,1.0
4,distance,2,brute,30,1.0,1.0
